S.No,College Code,College Name,Category
1,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road,
Guindy, Chennai 600 025",UNIVERSITY DEPARTMENTS
2,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road,
Guindy, Chennai 600 025",UNIVERSITY DEPARTMENTS
3,3,"School of Architecture and Planning, Anna University,Chennai 600025",UNIVERSITY DEPARTMENTS
4,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram
Taluk, Chengalpattu District 600 044",UNIVERSITY DEPARTMENTS
5,5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",UNIVERSITY DEPARTMENTS
6,1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",Government Colleges
7,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District
641013",Government Colleges
8,2369,"Government College of Engineering, Chettikkarai Post, Dharmapuri District 635704",Government Colleges
9,2603,"Government College of Engineering (Autonomous), Bargur, Krishnagiri District 635104",Government Colleges
10,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",Government Colleges
11,2709,"Government College of Engineering (Formerly Institute of Road and Transport Technology),
Vasavi College Post, Erode District 638316",Government Colleges
12,3464,"Government College of Engineering, Gandarvakottai Road, Sengipatti, Thanjavur District
613402",Government Colleges
13,3465,"Government College of Engineering, Srirangam, Sethurappatti, Tiruchirappalli District
620012",Government Colleges
14,4974,"Government College of Engineering, Tirunelveli District 627007",Government Colleges
15,5009,"Government College of Engineering, Melachokkanathapuram, Bodinayakkanur, Theni
District 625582",Government Colleges
16,5901,"Alagappa Chettiar Government College of Engineering and Technology (Autonomous),
Karaikudi, Sivagangai District 630004",Government Colleges
17,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",GOVERNMENT AIDED COLLEGES
18,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore
District 641014",GOVERNMENT AIDED COLLEGES
19,5008,"Thiagarajar College of Engineering (Autonomous),Tirupparankundram, Madurai District
625015",GOVERNMENT AIDED COLLEGES
20,1321,"Central Institute of Petrochemicals Engineering and Technology (Formerly Central Institute
of Plastics Engineering and Technology) (CIPET), Guindy, Chennai 600032",CECRI AND CIPET
21,2343,"Indian Institute of Handloom Technology, Foulke s Compound, Thillai Nagar, Salem District
636001",CECRI AND CIPET
22,5012,"Central Electrochemical Research Institute CECRI), Karaikudi, Sivagangai District 630006",CECRI AND CIPET
23,1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",Constituent Colleges
24,1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District
604001",Constituent Colleges
25,1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni,
Thiruvannamalai District 632326",Constituent Colleges
26,1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-
Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552",Constituent Colleges
27,2025,"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor
Bharathiyar University Post, Somayampalayam, Coimbatore District 641046",Constituent Colleges
28,3011,"University College of Engineering, Tiruchirappalli, (Bharathidasan Institute of Technology),
Tiruchirappalli District 620024",Constituent Colleges
29,3016,"University College of Engineering, Ariyalur, Kathankudikadu Village, Thelur Post, Ariyalur
District 621704",Constituent Colleges
30,3018,"University College of Engineering, Thirukkuvalai, Nagappattinam District 610204",Constituent Colleges
31,3019,"University College of Engineering, Panruti, Chennai-Kumbakonam Highway,
Panikkankuppam, Panruti, Cuddalore District 607106",Constituent Colleges
32,3021,"University College of Engineering, Pattukkottai, ECR Road, Rajamadam, Pattukkottai Taluk,
Thanjavur District 614701",Constituent Colleges
33,4020,"Anna University Regional Campus - Tirunelveli, Trivandrum Road, Palayamkottai, Tirunelveli
District 627007",Constituent Colleges
34,4023,"University College of Engineering, Nagercoil, Nagercoil Industrial Estate, Konam,
Kanyakumari District 629004",Constituent Colleges
35,4024,"University V.O.C. College of Engineering, Thoothukudi, Near V.O.C. College, Millerpuram,
Thoothukudi District 628008",Constituent Colleges
36,5010,"Anna University Regional Campus - Madurai, Kanyakumari National Highway, Keelakuilkudi,
Madurai District 625019",Constituent Colleges
37,5017,"University College of Engineering, Ramanathapuram, Pullangudi, Ramanathapuram District
623513",Constituent Colleges
38,5022,"University College of Engineering, Dindigul, Mangarai Pirivu, Reddiyarchathiram, Dindigul
District 624622",Constituent Colleges
39,1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai
600055",Self Financing Engineering Colleges
40,1102,"Bhajarang Engineering College Near Avadi, Ayathur Village, Veppampattu (Rs) Thiruvallur
Taluk and District Tamilnadu 602024",Self Financing Engineering Colleges
41,1106,"Jaya Engineering College, Thirunindravur, Chennai 602024",Self Financing Engineering Colleges
42,1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-Tiruttani NH Road, Thiruvallur
District 631204",Self Financing Engineering Colleges
43,1110,"Prathyusha Engineering college (Autonomous) , Aranvoyalkuppam, Thiruvallur District
602025",Self Financing Engineering Colleges
44,1112,"R M D Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur
District 601206",Self Financing Engineering Colleges
45,1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur
District 601206",Self Financing Engineering Colleges
46,1114,"S A Engineering College (Autonomous), Thiruverkadu, Chennai 600077",Self Financing Engineering Colleges
47,1115,"Sri Ram Engineering College, Perumalpattu, Veppampattu (R S), Thiruvallur District 602 024",Self Financing Engineering Colleges
48,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District
631203",Self Financing Engineering Colleges
49,1118,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous),
Avadi-Alamathi Road, Chennai 600 062",Self Financing Engineering Colleges
50,1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066",Self Financing Engineering Colleges
51,1121,"Sri Venkateswara Institute of Science and Technology, Kozhundalur, Thiruvallur District
631203",Self Financing Engineering Colleges
